Compound,Gradient,Abundance A,Abundance B
2-Bromo dodecane,0.13,0,0.13
"Tridecane, 3-methyl-",0.13,0,0.13
"Trichloroacetic acid, 2-tetradecyl ester",0.13,0,0.13
"Trichloroacetic acid, 4-tetradecyl ester",0.13,0,0.13
1-Dodecene,0.13,0,0.13
"Cyclopropane, 1,2-dimethyl-, trans-",0.13,0,0.13
"Cyclopropane, ethyl-",0.13,0,0.13
"Decane, 2,3,6-trimethyl-",0.13,0.12,0.25
1-Hexene,0.13,0,0.13
"3-Hexene, (Z)-",0.13,0,0.13
"Ethane, 1,1,1-trichloro-2,2,2-trifluoro-",0.12,0,0.12
"Hexadecane, 5-butyl-",0.12,0,0.12
"1-Decanol, 2-hexyl-",0.12,0,0.12
"Heptadecane, 2,6,10,14-tetramethyl-",0.12,0.04,0.16
"Dodecane, 5-methyl-",0.12,0,0.12
"Decane, 4-ethyl-",0.12,0,0.12
"Undecane, 2,4-dimethyl-",0.12,0,0.12
Cyclotridecane,0.12,0,0.12
"Cyclooctane, methyl-",0.12,0,0.12
"1(3H)-Isobenzofuranone, 5-methyl-",0.12,0,0.12
4-Methylphthalaldehyde,0.12,0,0.12
"Benzaldehyde, 4-propyl-",0.12,0,0.12
Ã¡-Vatirenene,0.12,0,0.12
"Isolongifolene, 9,10-dehydro-",0.12,0,0.12
"Neoisolongifolene, 8,9-dehydro-",0.12,0,0.12
"Decane, 5,6-dimethyl-",0.12,0,0.12
"Undecane, 3,7-dimethyl-",0.12,0.39,0.5
2-Butenal,0.11,0,0.11
"2(3H)-Furanone, 4,5-dihydro-4-(2-methyl-3-methylenebu",0.11,0,0.11
"Cyclohexane, 1,1,2,3-tetramethyl-t-4-yl)-",0.11,0,0.11
"Heptadecane, 2,6,10,15-tetramethyl-",0.11,0.05,0.16
"Benzene, 1-ethyl-2-methyl-",0.11,0.15,0.25
"Benzene, 1-ethyl-3-methyl-",0.11,0.15,0.25
"Benzene, 1-ethyl-4-methyl-",0.11,0.15,0.25
"Heneicosane, 11-(1-ethylpropyl)-",0.11,0,0.11
tert-Hexadecanethiol,0.11,0,0.11
"Benzene, propyl-",0.11,0.08,0.19
"1,3,5-Cycloheptatriene, 7-ethyl-",0.11,0.08,0.19
"1-Butanol, 3,3-dimethyl-",0.1,0,0.1
"Hydroperoxide, 1-methylhexyl",0.1,0,0.1
"Oxirane, [(tetradecyloxy)methyl]-",0.1,0,0.1
"Pentane, 1,1,2,3,4,5-hexachloro-1,2,3,4,5,5-hexafluoro-",0.1,0,0.1
(Z)-3-Heptene,0.1,0.06,0.16
"3-Heptene, (E)-",0.1,0.06,0.16
1-Chloroeicosane,0.1,0,0.1
"Nonadecane, 1-chloro-",0.1,0,0.1
"Benzo[b]dihydropyran, 6-hydroxy-4,4,5,7,8-pentamethyl",-0.1,0,0.1
"2,3-Dimethyldecane",0.1,0.08,0.18
"Furan, 2-methyl-",0.1,0.06,0.15
"Furan, 3-methyl-",0.1,0.06,0.15
"Decane, 3-methyl-",0.1,0.08,0.17
"Cyclohexane, 1,1-dimethyl-2-propyl-",0.1,0,0.1
"1-Ethyl-2,2,6-trimethylcyclohexane",0.1,0,0.1
"4-Decene, 7-methyl-, (E)-",0.1,0,0.1
"Decane, 3,3,4-trimethyl-",0.1,0.09,0.18
"Octadecane, 6-methyl-",0.09,0.07,0.17
"Dodecane, 2,6,11-trimethyl-",0.09,0.15,0.25
"2,6-Dimethyldecane",0.09,0.07,0.16
"Nonane, 5-(1-methylpropyl)-",0.09,0.09,0.17
"Tetradecane, 5-methyl-",0.08,0.07,0.15
"Heptane, 3-ethyl-",0.08,0.05,0.14
"1-Hexadecanol, 2-methyl-",0.08,0.11,0.19
"Acetic acid, cyano-, 1,1-dimethylethyl ester",0.08,0.11,0.19
"Decane, 2-methyl-",0.08,0.34,0.42
"Hexane, 2,3,4-trimethyl-",0.08,0.03,0.11
"Cyclopropane, 1-ethyl-2-methyl-, cis-",0.08,0.05,0.13
"Octadecane, 3-ethyl-5-(2-ethylbutyl)-",0.08,0.03,0.11
"Tetradecane, 2,6,10-trimethyl-",0.07,0.12,0.19
"Heptadecane, 9-hexyl-",0.07,0.05,0.12
"Heptane, 4-methyl-",0.07,0.07,0.14
"1-Hexene, 4-ethyl-",0.07,0.07,0.14
n-Tridecan-1-ol,0.07,0.05,0.12
"2-Undecene, 3-methyl-, (Z)-",0.07,0.07,0.13
"1-Pentene, 2-methyl-",0.07,0.1,0.17
Cyclohexane,0.07,0.1,0.17
"Undecane, 4,7-dimethyl-",0.07,0.22,0.29
"Tridecane, 6-methyl-",0.07,0.11,0.18
"Octadecane, 2-methyl-",0.06,0.03,0.1
